GPPractice/Area;Year;Age;Sex;AreaType;PracticeCode;PatientCount_Asthma;PatientCount_Atrial Fibrillation;PatientCount_Cancer;PatientCount_Chronic Kidney Disease (CKD);PatientCount_Chronic Obstructive Pulmonary Disease (COPD);PatientCount_Coronary Heart Disease (CHD);PatientCount_Dementia;PatientCount_Depression;PatientCount_Diabetes;PatientCount_Eating Disorder;PatientCount_Epilepsy;PatientCount_Heart Failure;PatientCount_Hypertension;PatientCount_Mental Health;PatientCount_Osteoporosis;PatientCount_Palliative Care;PatientCount_Peripheral Arterial Disease (PAD);PatientCount_Rheumatoid Arthritis;PatientCount_Stroke and TIA;Change_Asthma;Change_Atrial Fibrillation;Change_Cancer;Change_Chronic Kidney Disease (CKD);Change_Chronic Obstructive Pulmonary Disease (COPD);Change_Coronary Heart Disease (CHD);Change_Dementia;Change_Depression;Change_Diabetes;Change_Eating Disorder;Change_Epilepsy;Change_Heart Failure;Change_Hypertension;Change_Mental Health;Change_Osteoporosis;Change_Palliative Care;Change_Peripheral Arterial Disease (PAD);Change_Rheumatoid Arthritis;Change_Stroke and TIA;Rate_Asthma;Rate_Atrial Fibrillation;Rate_Cancer;Rate_Chronic Kidney Disease (CKD);Rate_Chronic Obstructive Pulmonary Disease (COPD);Rate_Coronary Heart Disease (CHD);Rate_Dementia;Rate_Depression;Rate_Diabetes;Rate_Eating Disorder;Rate_Epilepsy;Rate_Heart Failure;Rate_Hypertension;Rate_Mental Health;Rate_Osteoporosis;Rate_Palliative Care;Rate_Peripheral Arterial Disease (PAD);Rate_Rheumatoid Arthritis;Rate_Stroke and TIA
Dundee 4;2019;20-24;M;Cluster;;111;0;5;0;0;0;0;30;18;0;16;0;5;10;0;0;0;0;0;11;;0;;;;;-9.1;63.6;;60;;;100;;;;;;4.5;0;0.2;0;0;0;0;1.2;0.7;0;0.6;0;0.2;0.4;0;0;0;0;0
Dundee 4;2019;25-29;M;Cluster;;74;0;5;0;0;0;0;47;11;5;5;0;5;11;0;0;0;0;0;-12.9;;0;;;;;11.9;-15.4;0;-50;;0;120;;;;;;3.7;0;0.2;0;0;0;0;2.3;0.5;0.2;0.2;0;0.2;0.5;0;0;0;0;0
Dundee 4;2019;30-34;M;Cluster;;79;0;5;0;0;0;0;46;13;5;16;0;10;13;0;0;0;0;0;14.5;;0;;;;;-20.7;0;0;0;;0;-23.5;;;;;;5.3;0;0.3;0;0;0;0;3.1;0.9;0.3;1.1;0;0.7;0.9;0;0;0;0;0
Dundee 4;2019;35-39;M;Cluster;;58;0;13;0;0;0;0;52;19;0;14;0;12;16;0;0;0;0;0;5.5;-100;18.2;;;;;2;5.6;;16.7;;9.1;6.7;;;;;;4.6;0;1;0;0;0;0;4.2;1.5;0;1.1;0;1;1.3;0;0;0;0;0
Dundee 4;2019;40-44;M;Cluster;;53;0;10;0;5;5;0;45;26;0;13;0;41;18;0;0;0;0;0;-1.9;;-23.1;;0;0;;-16.7;-3.7;;-18.8;;10.8;5.9;;;;;;5.4;0;1;0;0.5;0.5;0;4.6;2.6;0;1.3;0;4.2;1.8;0;0;0;0;0
Dundee 4;2019;45-49;M;Cluster;;72;5;14;5;16;10;0;54;41;0;11;0;87;17;0;0;0;0;5;10.8;0;-22.2;0;0;-23.1;;-8.5;-4.7;;-26.7;;-13.9;0;;;;;-50;7.3;0.5;1.4;0.5;1.6;1;0;5.5;4.2;0;1.1;0;8.8;1.7;0;0;0;0;0.5
Dundee 4;2019;50-54;M;Cluster;;62;10;24;5;28;25;0;60;64;0;21;5;134;21;0;0;5;0;11;-16.2;0;20;0;-15.2;-3.8;;5.3;-5.9;;5;;-4.3;16.7;;;0;;-26.7;6;1;2.3;0.5;2.7;2.4;0;5.8;6.2;0;2;0.5;13;2;0;0;0.5;0;1.1
Dundee 4;2019;55-59;M;Cluster;;78;12;36;11;36;54;0;62;101;0;24;11;225;18;5;5;5;5;25;20;20;2.9;-8.3;12.5;-6.9;;1.6;-2.9;;9.1;0;2.7;-10;0;;0;;31.6;7.8;1.2;3.6;1.1;3.6;5.4;0;6.2;10.1;0;2.4;1.1;22.5;1.8;0.5;0.5;0.5;0.5;2.5
Dundee 4;2019;60-64;M;Cluster;;61;16;51;14;47;79;0;44;112;0;16;11;281;17;0;5;20;12;29;19.6;-30.4;18.6;-12.5;-13;-6;;7.3;4.7;;33.3;10;-0.7;13.3;;;11.1;-14.3;16;7;1.8;5.8;1.6;5.4;9;0;5;12.8;0;1.8;1.3;32.1;1.9;0;0.6;2.3;1.4;3.3
Dundee 4;2019;65-69;M;Cluster;;45;42;66;22;68;125;5;32;140;0;10;24;330;11;0;0;28;5;37;15.4;5;6.5;0;17.2;1.6;0;-8.6;5.3;;-23.1;-14.3;3.1;-15.4;;-100;3.7;0;8.8;6;5.6;8.7;2.9;9;16.6;0.7;4.2;18.5;0;1.3;3.2;43.7;1.5;0;0;3.7;0.7;4.9
Dundee 4;2019;70-74;M;Cluster;;34;62;64;44;61;116;11;22;124;0;15;26;325;10;0;5;22;10;55;25.9;14.8;0;-4.3;-6.2;-5.7;0;-12;-3.9;;7.1;0;-3.3;0;;0;-8.3;0;-11.3;5;9.1;9.4;6.5;9;17.1;1.6;3.2;18.3;0;2.2;3.8;47.9;1.5;0;0.7;3.2;1.5;8.1
Dundee 4;2019;75-79;M;Cluster;;22;49;74;68;57;116;18;15;128;0;5;30;257;5;0;5;21;5;53;-8.3;-7.5;-1.3;0;-9.5;3.6;-10;0;16.4;;0;-11.8;6.6;-50;;-50;-22.2;0;17.8;4.8;10.7;16.2;14.9;12.5;25.4;3.9;3.3;28.1;0;1.1;6.6;56.4;1.1;0;1.1;4.6;1.1;11.6
Dundee 4;2019;80-84;M;Cluster;;10;48;49;39;40;90;30;12;63;0;5;22;155;5;0;10;20;5;40;0;0;44.1;-9.3;14.3;1.1;11.1;-14.3;5;;0;-12;-3.1;0;-100;;0;;-7;3.4;16.2;16.5;13.1;13.5;30.3;10.1;4;21.2;0;1.7;7.4;52.2;1.7;0;3.4;6.7;1.7;13.5
Dundee 4;2019;85plus;M;Cluster;;13;47;42;73;19;76;29;5;35;0;5;22;134;0;0;5;15;5;28;8.3;11.9;-10.6;-12;0;7;70.6;0;2.9;;0;-12;6.3;;;-50;36.4;0;7.7;5.9;21.5;19.2;33.3;8.7;34.7;13.2;2.3;16;0;2.3;10;61.2;0;0;2.3;6.8;2.3;12.8
Dundee 4;2019;All;M;Cluster;;908;292;460;287;378;699;95;529;903;18;194;153;2003;175;11;33;138;51;289;5.3;1.7;4.1;-5.3;-0.8;-1;15.9;-4;2.3;5.9;2.1;-6.7;0.4;4.2;10;3.1;-0.7;-1.9;2.8;5.2;1.7;2.6;1.6;2.2;4;0.5;3;5.2;0.1;1.1;0.9;11.4;1;0.1;0.2;0.8;0.3;1.6
Dundee 4;2020;00-04;M;Cluster;;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;;;;;;;;;;;;;;;;;;;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dundee 4;2020;05-09;M;Cluster;;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.7;;;;;;;;;;;;;;;;;;;5.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
